field_1,date,report_no,address,Latitude,Longitude,distance_in_ft,direction,day,collision_factor,collision_type,involved_with,vehicle_type,month,year,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_STAr,Shape_STLe
"219",2019/12/31,19-08774,"1145 CARLSBAD VILLAGE DRIVE and PIO PICO DRIVE, Carlsbad, San Diego, United States",33.163619,-117.341293,"0",Not Stated,"31",Driving Under Influence,Sideswipe,Bicycle,Bicycle,"12","2019","06","073","017801","06073017801","178.01",Census Tract 178.01,G5020,S,4345848.00000000,116020.00000000,"+33.1735608","-117.3403004",48022910.33660000563,29266.65545820000
"220",2019/12/28,19-08682,"LA COSTA AVE and SAXONY RD, Carlsbad, San Diego, United States",33.087191,-117.2872654,"82",WEST,"28",Unsafe Speed,Hit Object,Other Object,Bicycle,"12","2019","06","073","017601","06073017601","176.01",Census Tract 176.01,G5020,S,7999055.00000000,727228.00000000,"+33.0821964","-117.2792132",93921783.53529998660,41085.80053170000
"222",2019/09/30,19-06541,"MARRON RD and MARRON RD, Carlsbad, San Diego, United States",33.1767938,-117.3311118,"74",NORTH,"30",Unsafe Speed,Other,Non - Collision,Bicycle,"9","2019","06","073","017801","06073017801","178.01",Census Tract 178.01,G5020,S,4345848.00000000,116020.00000000,"+33.1735608","-117.3403004",48022910.33660000563,29266.65545820000
"223",2019/08/30,19-05803,"PALOMAR AIRPORT RD and LOKER AVE WEST, Carlsbad, San Diego, United States",33.130007,-117.2484806,"0",Not Stated,"30",Improper Turning,Broadside,Bicycle,Bicycle,"8","2019","06","073","019811","06073019811","198.11",Census Tract 198.11,G5020,S,9839617.00000000,0.00000000,"+33.1386145","-117.2514135",105903756.06100000441,71659.23407300000
"224",2019/08/29,19-05793,"RANCHO SANTA FE RD and CALLE BARCELONA, Carlsbad, San Diego, United States",33.0722449,-117.2425095,"0",Not Stated,"29",Traffic Signals and Signs,Other,Bicycle,Bicycle,"8","2019","06","073","020034","06073020034","200.34",Census Tract 200.34,G5020,S,1402956.00000000,0.00000000,"+33.0712908","-117.2532061",15100174.62739999965,15672.82531310000
"225",2019/08/24,19-05681,"CARLSBAD BLVD and SOLAMAR DR (W), Carlsbad, San Diego, United States",33.1208962,-117.3273054,"174",SOUTH,"24",Improper Turning,Other,Bicycle,Bicycle,"8","2019","06","073","017813","06073017813","178.13",Census Tract 178.13,G5020,S,4725275.00000000,2140496.00000000,"+33.1166075","-117.3234185",73896538.96209999919,53326.53828690000
"226",2019/08/15,19-05462,"7660 EL CAMINO REAL, Carlsbad, San Diego, United States",33.0873499,-117.2670605,"0",Not Stated,"15",Unknown,Hit Object,Non - Collision,Bicycle,"8","2019","06","073","020015","06073020015","200.15",Census Tract 200.15,G5020,S,2950161.00000000,0.00000000,"+33.0914050","-117.2387858",31752804.78339999914,41544.06013440000
"227",2019/08/07,19-05272,"CANNON RD and HILLTOP ST, Carlsbad, San Diego, United States",33.1526824,-117.290832,"390",EAST,"7",Unsafe Speed,Rear-End,Bicycle,Bicycle,"8","2019","06","073","019811","06073019811","198.11",Census Tract 198.11,G5020,S,9839617.00000000,0.00000000,"+33.1386145","-117.2514135",105903756.06100000441,71659.23407300000
"228",2019/07/03,19-04465,"CHESTNUT AVE and HARDING ST, Carlsbad, San Diego, United States",33.157638,-117.3410661,"0",Not Stated,"3",Auto R/W Violation,Other,Bicycle,Bicycle,"7","2019","06","073","017901","06073017901","179.01",Census Tract 179.01,G5020,S,1368630.00000000,249612.00000000,"+33.1656066","-117.3457885",17417073.34340000153,19572.17273230000
"229",2019/06/29,19-04373,"ADAMS ST and CHINQUAPIN AVE, Carlsbad, San Diego, United States",33.1494782,-117.3367293,"210",NORTH,"29",,Hit Object,Other Object,Bicycle,"6","2019","06","073","017902","06073017902","179.02",Census Tract 179.02,G5020,S,727906.00000000,77667.00000000,"+33.1518043","-117.3399517",8670360.32660000026,13551.67175500000
