date,report_no,address,Latitude,Longitude,distance_in_ft,direction,day,collision_factor,collision_type,involved_with,vehicle_type
7/30/2022,22-04964,"CARLSBAD BLVD and SEQUOIA AVE, Carlsbad, San Diego, United States",33.1468951,-117.3447858,2640,SOUTH,Saturday,Unsafe Speed,Rear-End,Parked Motor Vehicle,Electric Bicycle
7/27/2022,22-04889,"LA COSTA AVE and VIA MONTEBELLO, Carlsbad, San Diego, United States",33.0806139,-117.2355746,284,SOUTH,Wednesday,Driving Under Influence,Sideswipe,Bicycle,Electric Bicycle
7/24/2022,22-04793,"CARLSBAD BLVD and WALNUT AVE, Carlsbad, San Diego, United States",33.1538818,-117.3502175,113,NORTH,Sunday,Improper Turning,Sideswipe,Bicycle,Electric Bicycle
7/21/2022,22-04730,"CARLSBAD BLVD and SOLAMAR DR (W), Carlsbad, San Diego, United States",33.1208962,-117.3273054,562,SOUTH,Thursday,Unsafe Speed,Rear-End,Bicycle,Bicycle
7/19/2022,22-04682,"OCEAN ST and GRAND AVE, Carlsbad, San Diego, United States",33.1584411,-117.3534498,0,Not Stated,Tuesday,Unknown,Other,Non - Collision,Electric Bicycle
7/11/2022,22-04498,"TAMARACK AVE and COASTAL RAIL TRAIL CLASS IV BIKE LANE, Carlsbad, San Diego, United States",33.1540375,-117.3448732,226,NORTH,Monday,Unsafe Speed,Rear-End,Bicycle,Electric Bicycle
7/8/2022,22-04449,"MARRON RD and JEFFERSON ST, Carlsbad, San Diego, United States",33.1781859,-117.3404069,0,Not Stated,Friday,Traffic Signals and Signs,Rear-End,Bicycle,Bicycle
7/1/2022,22-04295,"SEAFARER PL and WIND SOCK WAY, Carlsbad, San Diego, United States",33.0954272,-117.3115205,10,SOUTH,Friday,Auto R/W Violation,Broadside,Bicycle,Bicycle
7/1/2022,22-04299,"EL CAMINO REAL and LA COSTA AVE, Carlsbad, San Diego, United States",33.0853092,-117.2685925,813,NORTH,Friday,,Broadside,Bicycle,Electric Bicycle
6/30/2022,22-04268,"985 TAMARACK AVE, Carlsbad, San Diego, United States",33.1522779,-117.3339596,0,Not Stated,Thursday,Other Improper Driving,Broadside,Bicycle,Bicycle
