field_1,date,report_no,address,Latitude,Longitude,distance_in_ft,direction,day,collision_factor,collision_type,involved_with,vehicle_type,month,year,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_STAr,Shape_STLe
"221",2019/12/24,19-08606,"PARK DR and ADAMS ST, Carlsbad, San Diego, United States",33.152327,-117.3334012,"49",NORTH,"24",Unsafe Speed,Hit Object,Fixed Object,Electric Bicycle,"12","2019","06","073","017810","06073017810","178.10",Census Tract 178.10,G5020,S,3429890.00000000,410586.00000000,"+33.1484786","-117.3205379",41335071.12719999999,30476.83685660000
"239",2019/03/02,19-01211,"CARLSBAD BLVD and CEREZO DR, Carlsbad, San Diego, United States",33.1285778,-117.3327191,"0",Not Stated,"2",Improper Turning,Broadside,Bicycle,Electric Bicycle,"3","2019","06","073","017813","06073017813","178.13",Census Tract 178.13,G5020,S,4725275.00000000,2140496.00000000,"+33.1166075","-117.3234185",73896538.96209999919,53326.53828690000
"173",2020/10/05,20-06238,"AVENIDA ENCINAS and POINSETTIA LANE, Carlsbad, San Diego, United States",33.1029063,-117.3134841,"0",Not Stated,"5",Traffic Signals and Signs,Broadside,Bicycle,Electric Bicycle,"10","2020","06","073","017813","06073017813","178.13",Census Tract 178.13,G5020,S,4725275.00000000,2140496.00000000,"+33.1166075","-117.3234185",73896538.96209999919,53326.53828690000
"174",2020/10/04,20-06204,"CARLSBAD BLVD and POINSETTIA LANE, Carlsbad, San Diego, United States",33.101796,-117.3180903,"546",NORTH,"4",Other Than Driver,Not Stated,Fixed Object,Electric Bicycle,"10","2020","06","073","017813","06073017813","178.13",Census Tract 178.13,G5020,S,4725275.00000000,2140496.00000000,"+33.1166075","-117.3234185",73896538.96209999919,53326.53828690000
"177",2020/09/27,20-06036,"PASEO DEL NORTE and CAMINO DE LAS ONDAS, Carlsbad, San Diego, United States",33.1102704,-117.3094874,"22",NORTH,"27",Improper Turning,Rear-End,Bicycle,Electric Bicycle,"9","2020","06","073","017811","06073017811","178.11",Census Tract 178.11,G5020,S,3324088.00000000,0.00000000,"+33.1143653","-117.3081459",35777304.97360000014,25214.71734340000
"178",2020/09/26,20-06025,"POINSETTIA LANE and AVENIDA ENCINAS, Carlsbad, San Diego, United States",33.1029063,-117.3134841,"0",Not Stated,"26",Other Than Driver,Other,Non - Collision,Electric Bicycle,"9","2020","06","073","017813","06073017813","178.13",Census Tract 178.13,G5020,S,4725275.00000000,2140496.00000000,"+33.1166075","-117.3234185",73896538.96209999919,53326.53828690000
"180",2020/09/19,20-05843,"EL CAMINO REAL and KELLY DR, Carlsbad, San Diego, United States",33.1524537,-117.3100736,"700",SOUTH,"19",Improper Turning,Hit Object,Fixed Object,Electric Bicycle,"9","2020","06","073","019811","06073019811","198.11",Census Tract 198.11,G5020,S,9839617.00000000,0.00000000,"+33.1386145","-117.2514135",105903756.06100000441,71659.23407300000
"207",2020/04/28,20-02513,"EL CAMINO REAL and LA COSTA AVE, Carlsbad, San Diego, United States",33.0853092,-117.2685925,"0",Not Stated,"28",Unsafe Speed,Broadside,Bicycle,Electric Bicycle,"4","2020","06","073","017601","06073017601","176.01",Census Tract 176.01,G5020,S,7999055.00000000,727228.00000000,"+33.0821964","-117.2792132",93921783.53529998660,41085.80053170000
"210",2020/03/21,20-01908,"ADAMS ST and HIGHLAND DR, Carlsbad, San Diego, United States",33.1605087,-117.3341569,"780",EAST,"21",Other Improper Driving,Other,Other Object,Electric Bicycle,"3","2020","06","073","017801","06073017801","178.01",Census Tract 178.01,G5020,S,4345848.00000000,116020.00000000,"+33.1735608","-117.3403004",48022910.33660000563,29266.65545820000
"212",2020/01/23,20-00508,"EL CAMINO REAL and ARENAL RD, Carlsbad, San Diego, United States",33.0945964,-117.2678402,"500",SOUTH,"23",Unsafe Lane Change,Other,Bicycle,Electric Bicycle,"1","2020","06","073","017808","06073017808","178.08",Census Tract 178.08,G5020,S,5187448.00000000,456098.00000000,"+33.1005787","-117.2889625",60741857.02949999273,37152.27402870000
"57",2021/12/31,21-08697,"ADAMS ST and HIGHLAND DR, Carlsbad, San Diego, United States",33.1605087,-117.3341569,"645",SOUTH,"31",Other Than Driver,Hit Object,Animal,Electric Bicycle,"12","2021","06","073","017801","06073017801","178.01",Census Tract 178.01,G5020,S,4345848.00000000,116020.00000000,"+33.1735608","-117.3403004",48022910.33660000563,29266.65545820000
"59",2021/12/28,21-08643,"FARADAY AVE and PRIESTLY DR, Carlsbad, San Diego, United States",33.1352407,-117.2761241,"0",Not Stated,"28",Wrong Side of Road,Broadside,Bicycle,Electric Bicycle,"12","2021","06","073","022101","06073022101","221.01",Census Tract 221.01,G5020,S,12013410.00000000,509483.00000000,"+33.1364305","-117.3025918",134784069.06999999285,53434.31741590000
"62",2021/12/15,21-08375,"COLLEGE BLVD and TAMARACK AVE (S), Carlsbad, San Diego, United States",33.1706117,-117.2934067,"4",SOUTH,"15",Other Hazardous Movement,Sideswipe,Bicycle,Electric Bicycle,"12","2021","06","073","019810","06073019810","198.10",Census Tract 198.10,G5020,S,9939023.00000000,131091.00000000,"+33.1653815","-117.2814268",108384412.53399997950,62146.02503940000
"65",2021/11/29,21-08000,"AMBROSIA LANE and AVIARA PY, Carlsbad, San Diego, United States",33.101333,-117.2767351,"301",NORTH,"29",Unsafe Speed,Rear-End,Bicycle,Electric Bicycle,"11","2021","06","073","017808","06073017808","178.08",Census Tract 178.08,G5020,S,5187448.00000000,456098.00000000,"+33.1005787","-117.2889625",60741857.02949999273,37152.27402870000
"66",2021/11/27,21-07956,"3421 VIA MOTELBELLO, Carlsbad, San Diego, United States",33.0812231,-117.2333473,"0",Not Stated,"27",Other Improper Driving,Broadside,Bicycle,Electric Bicycle,"11","2021","06","073","017109","06073017109","171.09",Census Tract 171.09,G5020,S,4415562.00000000,0.00000000,"+33.0779360","-117.2333360",47525155.09560000151,44006.12060400001
"69",2021/11/10,21-07534,"FARADAY AVE and EL CAMINO REAL, Carlsbad, San Diego, United States",33.1366511,-117.2732373,"0",Not Stated,"10",Unsafe Speed,Sideswipe,Bicycle,Electric Bicycle,"11","2021","06","073","019811","06073019811","198.11",Census Tract 198.11,G5020,S,9839617.00000000,0.00000000,"+33.1386145","-117.2514135",105903756.06100000441,71659.23407300000
"70",2021/11/01,21-07340,"ROSEMARY AVE and IVY ST, Carlsbad, San Diego, United States",33.1031248,-117.3019097,"97",WEST,"1",Other Hazardous Movement,Head-On,Other Motor Vehicle,Electric Bicycle,"11","2021","06","073","017808","06073017808","178.08",Census Tract 178.08,G5020,S,5187448.00000000,456098.00000000,"+33.1005787","-117.2889625",60741857.02949999273,37152.27402870000
"71",2021/10/31,21-07297,"CHESTNUT AVE and OXFORD ST, Carlsbad, San Diego, United States",33.165981,-117.313713,"405",WEST,"31",Improper Turning,Other,Bicycle,Electric Bicycle,"10","2021","06","073","019804","06073019804","198.04",Census Tract 198.04,G5020,S,2547914.00000000,0.00000000,"+33.1637450","-117.3117343",27423119.02529999986,22456.19959100000
"72",2021/10/28,21-07214,"GATEWAY RD and ALICANTE RD, Carlsbad, San Diego, United States",33.1276355,-117.2617997,"0",Not Stated,"28",Unsafe Speed,Other,Non - Collision,Electric Bicycle,"10","2021","06","073","020030","06073020030","200.30",Census Tract 200.30,G5020,S,5935321.00000000,0.00000000,"+33.1151161","-117.2578699",63882042.65519999713,35054.92352510000
"75",2021/10/23,21-07114,"RANCHO SANTA FE RD and PASEO LUPINO, Carlsbad, San Diego, United States",33.0837865,-117.231413,"0",Not Stated,"23",Traffic Signals and Signs,Broadside,Bicycle,Electric Bicycle,"10","2021","06","073","017109","06073017109","171.09",Census Tract 171.09,G5020,S,4415562.00000000,0.00000000,"+33.0779360","-117.2333360",47525155.09560000151,44006.12060400001
"76",2021/10/08,21-06722,"TAMARACK AVE and HIBISCUS CR, Carlsbad, San Diego, United States",33.1503162,-117.3403847,"520",WEST,"8",Improper Turning,Broadside,Bicycle,Electric Bicycle,"10","2021","06","073","017902","06073017902","179.02",Census Tract 179.02,G5020,S,727906.00000000,77667.00000000,"+33.1518043","-117.3399517",8670360.32660000026,13551.67175500000
"79",2021/10/01,21-06575,"CHESTNUT AVE and JEFFERSON ST, Carlsbad, San Diego, United States",33.1650545,-117.3484147,"90",WEST,"1",Auto R/W Violation,Broadside,Bicycle,Electric Bicycle,"10","2021","06","073","017901","06073017901","179.01",Census Tract 179.01,G5020,S,1368630.00000000,249612.00000000,"+33.1656066","-117.3457885",17417073.34340000153,19572.17273230000
"86",2021/09/16,21-06230,"HARDING ST and OAK AVE, Carlsbad, San Diego, United States",33.160858,-117.343712,"0",Not Stated,"16",Improper Turning,Other,Bicycle,Electric Bicycle,"9","2021","06","073","017901","06073017901","179.01",Census Tract 179.01,G5020,S,1368630.00000000,249612.00000000,"+33.1656066","-117.3457885",17417073.34340000153,19572.17273230000
"91",2021/09/10,21-06102,"TAMARACK AVE and E POINTE AVEE, Carlsbad, San Diego, United States",33.152676,-117.314949,"400",WEST,"10",Unsafe Speed,Overturned,Non - Collision,Electric Bicycle,"9","2021","06","073","017809","06073017809","178.09",Census Tract 178.09,G5020,S,1557483.00000000,0.00000000,"+33.1575414","-117.3267034",16763156.98660000041,22250.42677580000
"93",2021/09/03,21-05930,"POINSETTIA LANE and QUARTZ WAY, Carlsbad, San Diego, United States",33.1157583,-117.2566366,"540",EAST,"3",Unsafe Speed,Other,Non - Collision,Electric Bicycle,"9","2021","06","073","020030","06073020030","200.30",Census Tract 200.30,G5020,S,5935321.00000000,0.00000000,"+33.1151161","-117.2578699",63882042.65519999713,35054.92352510000
"94",2021/08/30,21-05807,"TAMARACK AVE and HIBISCUS CRv, Carlsbad, San Diego, United States",33.1503162,-117.3403847,"6",WEST,"30",Auto R/W Violation,Other,Bicycle,Electric Bicycle,"8","2021","06","073","017902","06073017902","179.02",Census Tract 179.02,G5020,S,727906.00000000,77667.00000000,"+33.1518043","-117.3399517",8670360.32660000026,13551.67175500000
"97",2021/08/19,21-05568,"WIND TRAIL WAY and WIND TRAIL WAY, Carlsbad, San Diego, United States",33.152945,-117.2954241,"59",EAST,"19",Improper Turning,Hit Object,Fixed Object,Electric Bicycle,"8","2021","06","073","019811","06073019811","198.11",Census Tract 198.11,G5020,S,9839617.00000000,0.00000000,"+33.1386145","-117.2514135",105903756.06100000441,71659.23407300000
"98",2021/08/16,21-05481,"COLLEGE BLVD and PLAINS WAY, Carlsbad, San Diego, United States",33.1619253,-117.291988,"74",NORTH,"16",Auto R/W Violation,Broadside,Bicycle,Electric Bicycle,"8","2021","06","073","019810","06073019810","198.10",Census Tract 198.10,G5020,S,9939023.00000000,131091.00000000,"+33.1653815","-117.2814268",108384412.53399997950,62146.02503940000
"101",2021/08/07,21-05294,"GRAND AVE and STATE ST, Carlsbad, San Diego, United States",33.160683,-117.349602,"39",EAST,"7",Other Hazardous Movement,Sideswipe,Bicycle,Electric Bicycle,"8","2021","06","073","017901","06073017901","179.01",Census Tract 179.01,G5020,S,1368630.00000000,249612.00000000,"+33.1656066","-117.3457885",17417073.34340000153,19572.17273230000
"104",2021/07/30,21-05095,"VIA MONTEBELLO, Carlsbad, San Diego, United States",33.0815969,-117.2331981,"0",Not Stated,"30",Other Improper Driving,Head-On,Bicycle,Electric Bicycle,"7","2021","06","073","017109","06073017109","171.09",Census Tract 171.09,G5020,S,4415562.00000000,0.00000000,"+33.0779360","-117.2333360",47525155.09560000151,44006.12060400001
"107",2021/07/23,21-04907,"ALICANTE RD and ALTISMA WAY (N), Carlsbad, San Diego, United States",33.0934736,-117.255191,"0",Not Stated,"23",Other Than Driver,Other,Non - Collision,Electric Bicycle,"7","2021","06","073","020033","06073020033","200.33",Census Tract 200.33,G5020,S,1645563.00000000,0.00000000,"+33.1010820","-117.2486143",17711294.06309999898,19741.65976800000
"108",2021/07/22,21-04881,"JEFFERSON ST and TAMARACK AVE, Carlsbad, San Diego, United States",33.1545825,-117.3181712,"4",SOUTH,"22",Traffic Signals and Signs,Broadside,Bicycle,Electric Bicycle,"7","2021","06","073","017810","06073017810","178.10",Census Tract 178.10,G5020,S,3429890.00000000,410586.00000000,"+33.1484786","-117.3205379",41335071.12719999999,30476.83685660000
"110",2021/07/21,21-04866,"CARLSBAD BLVD and CANNON RD, Carlsbad, San Diego, United States",33.1324834,-117.3354103,"58",SOUTH,"21",Improper Turning,Sideswipe,Bicycle,Electric Bicycle,"7","2021","06","073","017813","06073017813","178.13",Census Tract 178.13,G5020,S,4725275.00000000,2140496.00000000,"+33.1166075","-117.3234185",73896538.96209999919,53326.53828690000
"115",2021/07/15,21-04716,"TAMARACK AVE and I-5 TAMARACK SB OFF RAMP, Carlsbad, San Diego, United States",33.1475628,-117.345311,"65",EAST,"15",Unsafe Speed,Hit Object,Other Object,Electric Bicycle,"7","2021","06","073","018000","06073018000","180",Census Tract 180,G5020,S,1287198.00000000,498824.00000000,"+33.1547915","-117.3499851",19222947.83210000023,26385.95431330000
"118",2021/06/27,21-04291,"TYLER ST and PINE AVE, Carlsbad, San Diego, United States",33.157684,-117.34642,"0",Not Stated,"27",Unsafe Speed,Other,Non - Collision,Electric Bicycle,"6","2021","06","073","017901","06073017901","179.01",Census Tract 179.01,G5020,S,1368630.00000000,249612.00000000,"+33.1656066","-117.3457885",17417073.34340000153,19572.17273230000
"121",2021/06/21,21-04153,"AVENIDA DE ANITA and MARRON RD, Carlsbad, San Diego, United States",33.1783317,-117.321925,"86",SOUTH,"21",Unsafe Speed,Overturned,Non - Collision,Electric Bicycle,"6","2021","06","073","019803","06073019803","198.03",Census Tract 198.03,G5020,S,3798709.00000000,0.00000000,"+33.1753289","-117.3081968",40885369.10100000352,29812.35375420000
"125",2021/05/31,21-03645,"ANILLO WAY and PALACIO DR, Carlsbad, San Diego, United States",33.0802823,-117.2605061,"95",EAST,"31",Unknown,Other,Non - Collision,Electric Bicycle,"5","2021","06","073","020035","06073020035","200.35",Census Tract 200.35,G5020,S,3399635.00000000,0.00000000,"+33.0807361","-117.2525982",36590571.17490000278,27320.99524270000
"127",2021/05/23,21-03443,"POINSETTIA LANE and AVENIDA ENCINAS, Carlsbad, San Diego, United States",33.1029063,-117.3134841,"0",Not Stated,"23",Improper Turning,Sideswipe,Bicycle,Electric Bicycle,"5","2021","06","073","017813","06073017813","178.13",Census Tract 178.13,G5020,S,4725275.00000000,2140496.00000000,"+33.1166075","-117.3234185",73896538.96209999919,53326.53828690000
"130",2021/05/21,21-03370,"COLLEGE BLVD and CANNON RD, Carlsbad, San Diego, United States",33.1549962,-117.2871277,"42",NORTH,"21",Unsafe Speed,Sideswipe,Bicycle,Electric Bicycle,"5","2021","06","073","019811","06073019811","198.11",Census Tract 198.11,G5020,S,9839617.00000000,0.00000000,"+33.1386145","-117.2514135",105903756.06100000441,71659.23407300000
